DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6
20131023,9,19,30,38,47,57
20131026,5,12,21,32,42,51
20131027,8,15,22,24,33,58
20131029,12,15,22,31,45,57
20131030,10,27,28,45,49,52
20131102,3,9,30,37,38,50
20131103,10,20,36,40,41,57
20131105,12,34,42,47,48,52
20131106,6,14,19,23,55,56
20131109,3,27,28,37,40,42
20131110,1,8,22,27,38,40
20131113,7,8,16,31,50,56
20131116,8,18,19,28,30,31
20131117,4,5,15,21,43,51
20131120,20,31,41,43,49,50
20131123,5,7,17,28,43,54
20131124,10,15,16,36,42,55
20131126,22,27,33,36,38,56
20131127,16,21,34,37,42,50
20131130,4,13,25,35,36,43
20131201,5,8,15,30,48,54
20131203,7,8,25,31,49,53
20131204,5,7,12,16,32,44
20131207,1,8,9,33,36,45
20131208,9,14,24,25,31,56
20131211,2,8,33,40,53,58
20131214,6,19,20,37,53,55
20131215,36,39,47,48,49,58
20131218,12,16,27,42,45,54
20131221,12,17,24,29,39,51
20131222,22,32,35,38,45,51
20131225,13,28,40,49,53,56
20131228,5,12,21,37,40,56
20131229,9,10,11,17,35,57
20131231,3,11,19,34,36,53
20140101,1,32,38,41,48,52
20140104,3,5,21,24,27,41
20140105,16,24,33,37,41,45
20140107,3,19,20,22,41,47
20140108,12,13,14,15,38,45
20140111,1,11,37,41,43,48
20140112,20,32,35,44,47,48
20140115,5,8,20,25,49,50
20140118,3,16,21,40,44,54
20140119,4,6,10,13,48,56
20140122,19,20,25,41,50,54
20140125,3,14,22,25,30,50
20140126,2,9,28,33,44,54
20140128,14,18,21,28,35,47
20140129,2,21,24,29,37,55
20140201,3,10,13,14,22,25
20140202,30,33,39,42,51,52
20140204,11,15,30,41,54,55
20140205,9,10,11,18,25,58
20140208,24,25,32,35,40,56
20140209,4,8,10,26,52,58
20140211,10,15,22,34,51,53
20140212,18,19,34,36,44,48
20140215,1,8,27,42,43,45
20140216,1,5,18,19,25,55
20140219,9,15,23,42,46,55
20140222,2,10,17,26,37,38
